time,env_t,obj_t
00:03:39,21.67,-0.85
00:03:40,21.67,-0.85
00:03:41,21.63,-0.85
00:03:42,21.67,-0.81
00:03:43,21.67,-0.97
00:03:44,21.65,-0.97
00:03:45,21.67,-0.93
00:03:46,21.65,-1.01
00:03:47,21.65,-1.01
00:03:48,21.67,-0.97
00:03:49,21.63,-0.85
00:03:50,21.65,-0.85
00:03:51,21.65,-0.89
00:03:52,21.67,-0.93
00:03:54,21.67,-0.85
00:03:55,21.65,-0.85
00:03:56,21.65,-0.85
00:03:57,21.65,-0.81
00:03:58,21.65,-0.65
00:03:59,21.61,-0.89
00:04:00,21.63,-0.77
00:04:01,21.65,-0.85
00:04:02,21.63,-0.85
00:04:03,21.63,-0.77
00:04:04,21.65,-0.81
00:04:05,21.65,-0.93
00:04:06,21.67,-1.17
00:04:07,21.63,-1.25
00:04:08,21.67,-1.21
00:04:09,21.65,-1.05
00:04:10,21.61,-0.97
00:04:11,21.67,-0.85
00:04:12,21.63,-0.89
00:04:13,21.65,-0.97
00:04:14,21.65,-0.85
00:04:15,21.63,-0.93
00:04:16,21.65,-0.81
00:04:17,21.65,-0.89
00:04:18,21.59,-1.01
00:04:19,21.61,-0.97
00:04:20,21.65,-0.89
00:04:21,21.63,-0.89
00:04:23,21.59,-0.89
00:04:24,21.65,-0.85
00:04:25,21.63,-0.89
00:04:26,21.65,-0.69
00:04:27,21.65,-0.73
00:04:28,21.59,-0.77
00:04:29,21.61,-0.77
00:04:30,21.63,-0.77
00:04:31,21.63,-0.65
00:04:32,21.63,-0.65
00:04:33,21.65,-0.77
00:04:34,21.67,-0.65
00:04:35,21.61,-0.69
00:04:36,21.65,-0.69
00:04:37,21.63,-0.65
00:04:38,21.65,-0.61
00:04:39,21.63,-0.57
00:04:40,21.65,-0.69
00:04:41,21.61,-0.85
00:04:42,21.63,-0.85
00:04:43,21.63,-0.93
00:04:44,21.63,-0.81
00:04:45,21.61,-0.77
00:04:46,21.63,-0.73
00:04:47,21.63,-0.73
00:04:48,21.63,-0.69
00:04:49,21.61,-0.81
00:04:50,21.63,-0.81
00:04:52,21.63,-0.77
00:04:53,21.63,-0.69
00:04:54,21.65,-0.77
00:04:55,21.65,-0.81
00:04:56,21.59,-0.85
00:04:57,21.63,-0.85
00:04:58,21.63,-0.77
00:04:59,21.61,-1.05
00:05:00,21.61,-0.89
00:05:01,21.65,-1.01
00:05:02,21.63,-0.93
00:05:03,21.65,-1.09
00:05:04,21.61,-1.01
00:05:05,21.65,-0.97
00:05:06,21.61,-0.97
00:05:07,21.63,-0.97
00:05:08,21.65,-0.89
