time,env_t,obj_t
00:00:00,23.93,-2.43
00:00:01,23.85,-2.39
00:00:02,23.87,-2.47
00:00:03,23.93,-2.43
00:00:04,23.91,-2.47
00:00:05,23.91,-2.31
00:00:06,23.93,-2.35
00:00:07,23.87,-2.39
00:00:08,23.91,-2.39
00:00:09,23.93,-2.31
00:00:10,23.87,-2.43
00:00:11,23.91,-2.39
00:00:13,23.93,-2.31
00:00:14,23.93,-2.43
00:00:15,23.91,-2.43
00:00:16,23.91,-2.55
00:00:17,23.95,-2.31
00:00:18,23.91,-2.43
00:00:19,23.91,-2.47
00:00:20,23.91,-2.39
00:00:21,23.91,-2.31
00:00:22,23.87,-2.31
00:00:23,23.91,-2.35
00:00:24,23.91,-2.19
00:00:25,23.97,-2.35
00:00:26,23.95,-2.23
00:00:27,23.93,-2.27
00:00:28,23.91,-2.39
00:00:29,23.95,-2.35
00:00:30,23.87,-2.39
00:00:31,23.93,-2.47
00:00:32,23.87,-2.47
00:00:33,23.91,-2.31
00:00:34,23.87,-2.35
00:00:35,23.91,-2.27
00:00:36,23.87,-2.23
00:00:37,23.91,-2.47
00:00:38,23.95,-2.43
00:00:39,23.91,-2.47
00:00:40,23.91,-2.43
00:00:41,23.93,-2.35
00:00:42,23.95,-2.39
00:00:43,23.93,-2.39
00:00:45,23.91,-2.47
00:00:46,23.93,-2.43
00:00:47,23.91,-2.43
00:00:48,23.87,-2.27
00:00:49,23.87,-2.35
00:00:50,23.87,-2.35
00:00:51,23.93,-2.39
00:00:52,23.87,-2.55
00:00:53,23.87,-2.47
00:00:54,23.95,-2.67
00:00:55,23.93,-2.55
00:00:56,23.95,-2.43
00:00:57,23.91,-2.35
00:00:58,23.93,-2.47
00:00:59,23.91,-2.47
00:01:00,23.91,-2.59
00:01:01,23.87,-2.55
00:01:02,23.93,-2.35
00:01:03,23.97,-2.43
00:01:04,23.91,-2.43
00:01:05,23.91,-2.63
00:01:06,23.91,-2.75
00:01:07,23.87,-2.67
00:01:08,23.85,-2.63
00:01:09,23.91,-2.71
00:01:10,23.87,-2.75
00:01:11,23.87,-2.63
00:01:12,23.93,-2.55
00:01:13,23.91,-2.59
00:01:14,23.91,-2.35
00:01:16,23.87,-2.39
00:01:17,23.93,-2.39
00:01:18,23.93,-2.23
00:01:19,23.91,-2.23
00:01:20,23.91,-2.35
00:01:21,23.87,-2.27
00:01:22,23.87,-2.23
00:01:23,23.93,-2.23
00:01:24,23.93,-2.19
00:01:25,23.91,-2.11
00:01:26,23.87,-2.35
00:01:27,23.93,-2.35
00:01:28,23.93,-2.43
00:01:29,23.91,-2.51
00:01:30,23.91,-2.47
00:01:31,23.91,-2.51
00:01:32,23.87,-2.67
00:01:33,23.87,-2.75
00:01:34,23.93,-2.63
00:01:35,23.85,-2.63
00:01:36,23.87,-2.47
00:01:37,23.87,-2.31
00:01:38,23.91,-2.23
00:01:39,23.91,-2.31
00:01:40,23.87,-2.63
00:01:41,23.85,-2.63
00:01:42,23.93,-2.59
00:01:43,23.87,-2.55
00:01:44,23.93,-2.67
00:01:45,23.87,-2.55
00:01:46,23.87,-2.51
00:01:48,23.87,-2.43
00:01:49,23.87,-2.35
00:01:50,23.91,-2.31
00:01:51,23.91,-2.39
00:01:52,23.87,-2.39
00:01:53,23.87,-2.39
00:01:54,23.87,-2.59
00:01:55,23.91,-2.59
00:01:56,23.91,-2.43
00:01:57,23.93,-2.43
00:01:58,23.91,-2.39
00:01:59,23.85,-2.39
00:02:00,23.91,-2.27
00:02:01,23.87,-2.43
00:02:02,23.91,-2.11
00:02:03,23.87,-2.15
00:02:04,23.93,-2.23
00:02:05,23.91,-2.23
00:02:06,23.93,-2.15
00:02:07,23.93,-2.23
00:02:08,23.93,-2.19
00:02:09,23.91,-2.35
00:02:10,23.93,-2.31
00:02:11,23.87,-2.27
00:02:12,23.91,-2.35
00:02:13,23.85,-2.27
00:02:14,23.91,-2.27
00:02:15,23.91,-2.27
00:02:16,23.93,-2.23
00:02:18,23.87,-2.35
00:02:19,23.93,-2.23
00:02:20,23.91,-2.23
00:02:21,23.93,-2.27
00:02:22,23.87,-2.31
00:02:23,23.91,-2.27
00:02:24,23.93,-2.27
00:02:25,23.93,-2.23
00:02:26,23.95,-2.27
00:02:27,23.93,-2.31
00:02:28,23.85,-2.47
00:02:29,23.91,-2.47
00:02:30,23.91,-2.31
00:02:31,23.93,-2.39
00:02:32,23.95,-2.23
00:02:33,23.93,-2.35
00:02:34,23.91,-2.27
00:02:35,23.95,-2.23
00:02:36,23.85,-2.31
00:02:37,23.95,-2.35
00:02:38,23.87,-2.47
00:02:39,23.95,-2.51
00:02:40,23.91,-2.43
00:02:41,23.87,-2.31
00:02:42,23.95,-2.27
00:02:43,23.93,-2.07
00:02:44,23.95,-2.19
00:02:45,23.93,-2.39
00:02:46,23.93,-2.39
00:02:47,23.93,-2.67
00:02:48,23.93,-2.67
00:02:50,23.87,-2.79
00:02:51,23.87,-2.83
00:02:52,23.87,-2.79
00:02:53,23.93,-2.63
00:02:54,23.93,-2.79
00:02:55,23.91,-2.67
00:02:56,23.87,-2.51
00:02:57,23.93,-2.39
00:02:58,23.87,-2.51
00:02:59,23.91,-2.47
00:03:00,23.91,-2.39
00:03:01,23.93,-2.39
00:03:02,23.87,-2.43
00:03:03,23.91,-2.39
00:03:04,23.91,-2.43
00:03:05,23.91,-2.47
00:03:06,23.91,-2.39
00:03:07,23.91,-2.47
00:03:08,23.87,-2.59
00:03:09,23.91,-2.59
00:03:10,23.87,-2.39
00:03:11,23.93,-2.23
00:03:12,23.91,-2.35
00:03:13,23.91,-2.35
00:03:14,23.87,-2.27
00:03:15,23.87,-2.47
00:03:16,23.91,-2.63
00:03:17,23.91,-2.71
00:03:18,23.95,-2.55
00:03:20,23.91,-2.71
00:03:21,23.91,-2.27
00:03:22,23.87,-2.31
00:03:23,23.87,-2.19
00:03:24,23.87,-2.19
00:03:25,23.91,-2.23
00:03:26,23.91,-2.47
00:03:27,23.87,-2.27
