time,env_t,obj_t
00:00:00,21.27,-5.55
00:00:01,21.29,-5.39
00:00:02,21.29,-5.47
00:00:03,21.27,-5.51
00:00:04,21.29,-5.43
00:00:05,21.23,-5.47
00:00:06,21.27,-5.39
00:00:08,21.27,-5.47
00:00:09,21.27,-5.47
00:00:10,21.23,-5.43
00:00:11,21.29,-5.51
00:00:12,21.27,-5.51
00:00:13,21.21,-5.55
00:00:14,21.23,-5.47
00:00:15,21.27,-5.47
00:00:16,21.21,-5.47
00:00:17,21.23,-5.47
00:00:18,21.23,-5.51
00:00:19,21.33,-5.39
00:00:20,21.23,-5.51
00:00:21,21.27,-5.43
00:00:22,21.27,-5.47
00:00:23,21.27,-5.43
00:00:24,21.23,-5.51
00:00:25,21.27,-5.39
00:00:26,21.23,-5.51
00:00:27,21.27,-5.43
00:00:28,21.23,-5.51
00:00:29,21.23,-5.65
00:00:30,21.27,-5.51
00:00:31,21.21,-5.43
00:00:32,21.21,-5.51
00:00:33,21.23,-5.55
00:00:34,21.19,-5.51
00:00:35,21.23,-5.47
00:00:36,21.23,-5.51
00:00:37,21.29,-5.61
00:00:38,21.23,-5.61
00:00:40,21.23,-5.65
00:00:41,21.27,-5.61
00:00:42,21.21,-5.61
00:00:43,21.23,-5.61
00:00:44,21.27,-5.55
00:00:45,21.21,-5.65
00:00:46,21.27,-5.47
00:00:47,21.23,-5.51
00:00:48,21.19,-5.55
00:00:49,21.23,-5.47
00:00:50,21.21,-5.65
00:00:51,21.23,-5.51
00:00:52,21.27,-5.47
00:00:53,21.27,-5.55
00:00:54,21.23,-5.69
00:00:55,21.23,-5.51
00:00:56,21.27,-5.61
00:00:57,21.23,-5.55
00:00:58,21.21,-5.51
00:00:59,21.27,-5.51
00:01:00,21.23,-5.51
00:01:01,21.23,-5.73
00:01:02,21.21,-5.69
00:01:03,21.27,-5.61
00:01:04,21.23,-5.55
00:01:05,21.23,-5.65
00:01:06,21.21,-5.47
00:01:07,21.21,-5.85
00:01:08,21.19,-5.69
00:01:09,21.23,-5.51
00:01:11,21.23,-5.61
00:01:12,21.27,-5.69
00:01:13,21.21,-5.61
00:01:14,21.27,-5.51
00:01:15,21.23,-5.51
00:01:16,21.23,-5.55
00:01:17,21.23,-5.61
00:01:18,21.21,-5.65
00:01:19,21.21,-5.55
00:01:20,21.23,-5.47
00:01:21,21.23,-5.51
00:01:22,21.21,-5.65
00:01:23,21.23,-5.61
00:01:24,21.21,-5.51
00:01:25,21.19,-5.47
00:01:26,21.21,-5.61
00:01:27,21.23,-5.51
00:01:28,21.21,-5.55
00:01:29,21.23,-5.55
00:01:30,21.27,-5.61
00:01:31,21.23,-5.61
00:01:32,21.19,-5.65
00:01:33,21.19,-5.51
00:01:34,21.27,-5.61
00:01:35,21.17,-5.69
00:01:36,21.21,-5.55
00:01:37,21.23,-5.61
00:01:38,21.21,-5.55
00:01:39,21.21,-5.77
00:01:40,21.21,-5.55
00:01:41,21.23,-5.47
00:01:43,21.27,-5.47
00:01:44,21.21,-5.55
00:01:45,21.23,-5.61
00:01:46,21.21,-5.61
00:01:47,21.21,-5.55
00:01:48,21.23,-5.55
00:01:49,21.19,-5.61
00:01:50,21.21,-5.55
00:01:51,21.19,-5.65
00:01:52,21.19,-5.65
00:01:53,21.23,-5.55
00:01:54,21.19,-5.65
00:01:55,21.23,-5.61
00:01:56,21.21,-5.65
00:01:57,21.19,-5.65
00:01:58,21.19,-5.65
00:01:59,21.23,-5.61
00:02:00,21.17,-5.69
00:02:01,21.19,-5.61
00:02:02,21.21,-5.65
00:02:03,21.19,-5.65
00:02:04,21.21,-5.65
00:02:05,21.21,-5.55
00:02:06,21.21,-5.61
00:02:07,21.21,-5.65
00:02:08,21.19,-5.61
00:02:09,21.21,-5.61
00:02:10,21.27,-5.55
00:02:11,21.19,-5.61
00:02:12,21.23,-5.61
00:02:13,21.21,-5.61
00:02:15,21.21,-5.55
00:02:16,21.19,-5.51
00:02:17,21.19,-5.55
00:02:18,21.19,-5.61
00:02:19,21.19,-5.69
00:02:20,21.23,-5.65
00:02:21,21.19,-5.69
00:02:22,21.17,-5.77
00:02:23,21.17,-5.73
00:02:24,21.19,-5.69
00:02:25,21.21,-5.61
00:02:26,21.23,-5.55
00:02:27,21.19,-5.55
00:02:28,21.21,-5.55
00:02:29,21.19,-5.55
00:02:30,21.21,-5.65
00:02:31,21.19,-5.69
00:02:32,21.21,-5.55
00:02:33,21.21,-5.61
00:02:34,21.21,-5.77
00:02:35,21.21,-5.65
00:02:36,21.19,-5.55
00:02:37,21.19,-5.65
00:02:38,21.23,-5.51
00:02:39,21.17,-5.51
00:02:40,21.19,-5.43
00:02:41,21.19,-5.61
00:02:42,21.23,-5.65
00:02:43,21.21,-5.97
00:02:44,21.17,-5.81
00:02:45,21.21,-5.73
00:02:47,21.21,-5.77
00:02:48,21.17,-5.61
00:02:49,21.23,-5.55
00:02:50,21.23,-5.51
00:02:51,21.19,-5.61
00:02:52,21.21,-5.51
00:02:53,21.17,-5.55
00:02:54,21.21,-5.65
00:02:55,21.19,-5.61
00:02:56,21.19,-5.65
00:02:57,21.19,-5.65
00:02:58,21.19,-5.61
00:02:59,21.21,-5.55
00:03:00,21.23,-5.51
00:03:01,21.17,-5.47
00:03:02,21.23,-5.43
00:03:03,21.19,-5.47
00:03:04,21.19,-5.47
00:03:05,21.17,-5.55
00:03:06,21.19,-5.61
00:03:07,21.21,-5.61
00:03:08,21.19,-5.51
00:03:09,21.21,-5.43
00:03:10,21.19,-5.47
00:03:11,21.21,-5.55
00:03:12,21.17,-5.55
00:03:13,21.15,-5.55
00:03:14,21.21,-5.47
00:03:15,21.19,-5.61
00:03:16,21.17,-5.55
00:03:18,21.21,-5.55
00:03:19,21.17,-5.51
00:03:20,21.17,-5.55
00:03:21,21.17,-5.69
00:03:22,21.19,-5.65
00:03:23,21.19,-5.51
00:03:24,21.19,-5.51
00:03:25,21.21,-5.55
00:03:26,21.17,-5.51
00:03:27,21.17,-5.61
00:03:28,21.17,-5.51
00:03:29,21.17,-5.61
00:03:30,21.19,-5.61
00:03:31,21.15,-5.55
00:03:32,21.19,-5.51
00:03:33,21.19,-5.61
00:03:34,21.19,-5.65
00:03:35,21.19,-5.55
00:03:36,21.19,-5.51
00:03:37,21.19,-5.55
00:03:38,21.21,-5.61
00:03:39,21.19,-5.55
00:03:40,21.19,-5.55
00:03:41,21.21,-5.69
00:03:42,21.15,-5.65
00:03:43,21.19,-5.65
00:03:44,21.15,-5.55
00:03:45,21.19,-5.61
00:03:47,21.19,-5.69
00:03:48,21.19,-5.61
00:03:49,21.21,-5.55
00:03:50,21.17,-5.65
00:03:51,21.19,-5.61
00:03:52,21.19,-5.65
00:03:53,21.17,-5.69
00:03:54,21.17,-5.81
