time,env_t,obj_t
16:17:50,22.93,17.21
16:17:51,22.97,18.43
16:17:52,22.93,19.51
16:17:53,22.99,19.35
16:17:54,22.99,18.43
16:17:55,23.03,18.27
16:17:56,23.03,18.43
16:17:57,23.05,21.45
16:17:58,23.11,19.35
16:17:59,23.05,18.59
16:18:00,23.09,22.83
16:18:01,23.05,23.99
16:18:02,23.11,24.99
16:18:03,23.09,18.87
16:18:04,23.09,18.47
16:18:05,23.11,17.47
16:18:07,23.13,16.91
16:18:08,23.11,16.43
16:18:09,23.11,16.83
16:18:10,23.15,16.27
16:18:11,23.17,17.31
16:18:12,23.13,17.41
16:18:13,23.17,18.21
16:18:14,23.17,17.99
16:18:15,23.15,18.31
16:18:16,23.17,18.91
16:18:17,23.13,17.43
16:18:18,23.17,18.95
16:18:19,23.17,16.91
16:18:20,23.15,15.93
16:18:21,23.17,16.91
16:18:22,23.19,17.59
16:18:23,23.19,16.65
16:18:24,23.17,13.55
16:18:25,23.21,13.21
16:18:26,23.21,13.27
16:18:27,23.21,13.31
16:18:28,23.19,13.45
16:18:29,23.21,13.59
16:18:30,23.25,13.59
16:18:31,23.27,13.59
16:18:32,23.29,13.35
16:18:33,23.29,13.27
16:18:34,23.25,13.45
16:18:35,23.29,13.41
16:18:36,23.31,13.39
16:18:37,23.31,13.39
16:18:39,23.29,13.27
16:18:40,23.31,13.39
16:18:41,23.33,13.41
16:18:42,23.33,13.35
16:18:43,23.35,13.55
16:18:44,23.33,13.55
16:18:45,23.35,13.35
16:18:46,23.37,14.05
16:18:47,23.37,14.05
16:18:48,23.35,13.89
16:18:49,23.39,14.01
16:18:50,23.39,14.01
16:18:51,23.41,14.15
16:18:52,23.39,14.05
16:18:53,23.49,13.99
16:18:54,23.43,14.09
16:18:55,23.47,16.95
16:18:56,23.47,18.53
16:18:57,23.47,18.65
16:18:58,23.49,20.83
16:18:59,23.43,23.47
16:19:00,23.47,13.65
16:19:01,23.47,13.79
16:19:02,23.51,13.99
16:19:03,23.53,16.85
16:19:04,23.51,15.35
16:19:05,23.49,14.59
16:19:06,23.47,13.25
16:19:07,23.51,12.87
16:19:08,23.51,12.91
16:19:09,23.51,12.77
16:19:11,23.51,12.87
16:19:12,23.53,12.95
16:19:13,23.55,13.01
16:19:14,23.53,13.15
16:19:15,23.57,13.07
16:19:16,23.57,13.05
16:19:17,23.59,13.41
16:19:18,23.59,12.97
16:19:19,23.59,12.87
16:19:20,23.57,12.63
16:19:21,23.59,12.43
16:19:22,23.59,12.67
16:19:23,23.59,12.87
16:19:24,23.65,12.95
16:19:25,23.61,12.95
16:19:26,23.57,12.83
16:19:27,23.59,12.97
16:19:28,23.61,12.97
16:19:29,23.63,12.91
16:19:30,23.61,12.95
16:19:31,23.65,13.17
16:19:32,23.61,12.97
16:19:33,23.65,12.91
16:19:34,23.63,12.77
16:19:35,23.63,12.77
16:19:36,23.69,12.73
16:19:37,23.69,12.63
16:19:38,23.71,12.95
16:19:39,23.71,12.83
16:19:40,23.71,12.77
16:19:42,23.69,12.71
16:19:43,23.69,12.57
16:19:44,23.73,12.71
16:19:45,23.71,12.51
16:19:46,23.73,12.53
16:19:47,23.71,12.43
16:19:48,23.75,12.53
16:19:49,23.71,12.61
16:19:50,23.73,12.91
16:19:51,23.75,12.81
16:19:52,23.77,12.97
16:19:53,23.75,13.05
16:19:54,23.75,13.05
16:19:55,23.77,13.17
16:19:56,23.75,13.05
16:19:57,23.79,12.91
16:19:58,23.79,13.01
16:19:59,23.81,12.95
16:20:00,23.79,12.97
16:20:01,23.81,12.71
16:20:02,23.81,12.71
