time,env_t,obj_t
00:00:00,23.71,-0.97
00:00:01,23.69,-1.21
00:00:02,23.63,-1.05
00:00:03,23.65,-1.13
00:00:04,23.69,-1.13
00:00:05,23.65,-1.13
00:00:06,23.69,-1.05
00:00:07,23.65,-1.13
00:00:08,23.65,-1.09
00:00:09,23.65,-1.13
00:00:10,23.69,-1.25
00:00:11,23.63,-1.13
00:00:12,23.65,-1.17
00:00:14,23.69,-1.17
00:00:15,23.63,-1.21
00:00:16,23.63,-1.17
00:00:17,23.63,-1.17
00:00:18,23.61,-1.17
00:00:19,23.65,-1.13
00:00:20,23.65,-1.09
00:00:21,23.63,-1.17
00:00:22,23.69,-1.21
00:00:23,23.63,-1.17
00:00:24,23.61,-1.17
00:00:25,23.63,-1.17
00:00:26,23.63,-1.21
00:00:27,23.61,-1.13
00:00:28,23.61,-1.17
00:00:29,23.65,-1.17
00:00:30,23.61,-1.13
00:00:31,23.65,-1.05
00:00:32,23.63,-1.17
00:00:33,23.63,-1.13
00:00:34,23.63,-1.09
00:00:35,23.61,-1.13
00:00:36,23.69,-1.05
00:00:37,23.63,-1.13
00:00:38,23.65,-1.21
00:00:39,23.63,-1.17
00:00:40,23.61,-1.13
00:00:41,23.63,-1.17
00:00:42,23.63,-1.17
00:00:43,23.61,-1.17
00:00:44,23.61,-1.25
00:00:46,23.65,-1.17
00:00:47,23.65,-1.29
00:00:48,23.63,-1.21
00:00:49,23.61,-1.17
00:00:50,23.59,-1.13
00:00:51,23.63,-1.21
00:00:52,23.63,-1.29
00:00:53,23.63,-1.29
00:00:54,23.65,-1.17
00:00:55,23.63,-1.25
00:00:56,23.61,-1.25
00:00:57,23.63,-1.21
00:00:58,23.63,-1.17
00:00:59,23.63,-1.17
00:01:00,23.63,-1.17
00:01:01,23.61,-1.25
00:01:02,23.61,-1.17
00:01:03,23.61,-1.21
00:01:04,23.63,-1.17
00:01:05,23.65,-1.17
00:01:06,23.59,-1.21
00:01:07,23.61,-1.25
00:01:08,23.61,-1.13
00:01:09,23.61,-1.17
00:01:10,23.59,-1.21
00:01:11,23.61,-1.25
00:01:12,23.59,-1.21
00:01:13,23.63,-1.25
00:01:14,23.63,-1.25
00:01:15,23.59,-1.29
00:01:17,23.57,-1.29
00:01:18,23.61,-1.21
00:01:19,23.61,-1.17
00:01:20,23.65,-1.25
00:01:21,23.63,-1.17
00:01:22,23.59,-1.21
00:01:23,23.61,-1.17
00:01:24,23.65,-1.17
00:01:25,23.59,-1.25
00:01:26,23.59,-1.29
00:01:27,23.61,-1.21
00:01:28,23.61,-1.25
00:01:29,23.61,-1.25
00:01:30,23.63,-1.21
00:01:31,23.59,-1.17
00:01:32,23.63,-1.25
00:01:33,23.59,-1.25
00:01:34,23.61,-1.13
00:01:35,23.61,-1.21
00:01:36,23.61,-1.21
00:01:37,23.59,-1.21
00:01:38,23.59,-1.21
00:01:39,23.57,-1.17
00:01:40,23.59,-1.21
00:01:41,23.57,-1.21
00:01:42,23.59,-1.17
00:01:43,23.59,-1.13
00:01:44,23.59,-1.13
00:01:45,23.57,-1.21
00:01:46,23.61,-1.17
00:01:48,23.61,-1.17
00:01:49,23.59,-1.21
00:01:50,23.59,-1.21
00:01:51,23.63,-1.17
00:01:52,23.57,-1.25
00:01:53,23.55,-1.25
00:01:54,23.59,-1.17
00:01:55,23.59,-1.13
00:01:56,23.63,-1.25
00:01:57,23.59,-1.21
00:01:58,23.59,-1.17
00:01:59,23.57,-1.17
00:02:00,23.57,-1.21
00:02:01,23.55,-1.17
00:02:02,23.59,-1.17
00:02:03,23.59,-1.17
00:02:04,23.59,-1.09
00:02:05,23.59,-1.17
00:02:06,23.55,-1.21
00:02:07,23.61,-1.21
00:02:08,23.59,-1.25
00:02:09,23.59,-1.21
00:02:10,23.57,-1.21
00:02:11,23.57,-1.25
00:02:12,23.57,-1.17
00:02:13,23.57,-1.21
00:02:14,23.57,-1.25
00:02:15,23.59,-1.25
00:02:16,23.53,-1.25
00:02:17,23.57,-1.21
00:02:18,23.59,-1.17
00:02:20,23.55,-1.21
00:02:21,23.57,-1.33
