time,env_t,obj_t
00:00:00,19.89,3.25
00:00:02,19.91,3.15
00:00:03,19.87,3.07
00:00:04,19.89,3.41
00:00:05,19.95,3.25
00:00:06,19.87,3.45
00:00:07,19.89,3.53
00:00:08,19.87,3.63
00:00:09,19.89,3.55
00:00:10,19.97,3.59
00:00:11,19.95,3.79
00:00:12,19.89,3.71
00:00:13,19.91,3.53
00:00:14,19.89,3.81
00:00:15,19.87,3.89
00:00:16,19.91,3.89
00:00:17,19.87,3.93
00:00:18,19.89,4.01
00:00:19,19.89,3.97
00:00:20,19.87,4.11
00:00:21,19.95,4.07
00:00:22,19.89,4.19
00:00:23,19.89,4.23
00:00:24,19.91,4.15
00:00:25,19.87,4.19
00:00:26,19.95,4.11
00:00:27,19.89,3.97
00:00:28,19.89,3.93
00:00:29,19.89,4.27
00:00:30,19.89,4.45
00:00:31,19.89,4.49
00:00:33,19.87,4.53
00:00:34,19.91,4.41
00:00:35,19.91,4.53
00:00:36,19.95,4.71
00:00:37,19.87,4.59
00:00:38,19.89,4.49
00:00:39,19.95,4.63
00:00:40,19.89,4.71
00:00:41,19.91,4.71
00:00:42,19.91,4.67
00:00:43,19.91,4.81
00:00:44,19.95,4.89
00:00:45,19.95,4.97
00:00:46,19.89,4.85
00:00:47,19.95,5.05
00:00:48,19.91,5.01
00:00:49,19.91,5.11
00:00:50,19.89,5.33
00:00:51,19.91,5.37
00:00:52,19.95,5.33
00:00:53,19.95,5.45
00:00:54,19.95,5.37
00:00:55,19.95,5.49
00:00:56,19.91,5.45
00:00:57,19.95,5.49
00:00:58,19.91,5.55
00:00:59,19.91,5.71
00:01:00,19.95,5.73
00:01:01,19.91,5.85
00:01:02,20.01,5.73
00:01:04,20.01,5.73
00:01:05,19.95,5.71
00:01:06,19.95,5.63
00:01:07,19.95,5.63
00:01:08,19.91,5.49
00:01:09,19.97,5.51
00:01:10,19.91,5.55
00:01:11,19.99,5.67
00:01:12,19.95,5.77
00:01:13,19.97,5.77
00:01:14,19.99,5.73
00:01:15,19.95,5.85
00:01:16,19.95,5.81
00:01:17,19.95,5.89
00:01:18,19.95,5.99
00:01:19,19.97,5.81
00:01:20,19.99,5.73
00:01:21,19.99,5.71
00:01:22,19.97,5.81
00:01:23,19.95,5.67
00:01:24,19.97,5.77
00:01:25,19.95,5.85
00:01:26,19.91,5.89
00:01:27,19.91,6.13
00:01:28,19.95,6.11
00:01:29,19.95,5.95
00:01:30,19.97,5.93
00:01:31,19.95,5.93
00:01:32,19.97,5.85
00:01:33,19.95,5.95
00:01:34,19.95,6.21
00:01:36,19.95,6.33
00:01:37,19.95,6.47
00:01:38,19.95,6.75
00:01:39,19.97,6.61
00:01:40,19.97,6.57
00:01:41,19.97,6.61
00:01:42,20.01,6.57
00:01:43,19.97,6.75
00:01:44,19.95,6.65
00:01:45,19.95,6.61
00:01:46,19.97,6.53
00:01:47,19.95,6.51
00:01:48,19.95,6.39
00:01:49,19.95,6.39
00:01:50,19.95,6.39
00:01:51,19.97,6.57
00:01:52,20.01,6.69
00:01:53,19.95,6.73
00:01:54,19.99,6.79
00:01:55,19.97,6.75
00:01:56,19.95,6.73
00:01:57,19.97,6.69
00:01:58,19.95,6.75
00:01:59,19.99,6.75
00:02:00,19.97,6.83
00:02:01,19.97,6.79
00:02:02,19.99,6.57
00:02:03,20.01,6.47
00:02:04,19.99,6.61
00:02:05,19.97,6.61
00:02:06,19.97,6.51
00:02:08,19.99,6.39
00:02:09,20.01,6.47
00:02:10,19.97,6.47
00:02:11,20.01,6.39
00:02:12,19.95,6.17
00:02:13,19.97,6.17
00:02:14,19.97,6.29
00:02:15,19.97,6.13
00:02:16,19.91,6.33
00:02:17,19.95,6.47
00:02:18,19.91,6.69
00:02:19,19.99,6.61
00:02:20,19.91,6.47
00:02:21,19.97,6.47
00:02:22,19.95,6.47
00:02:23,19.95,6.61
00:02:24,19.97,6.73
00:02:25,19.99,6.75
00:02:26,19.97,6.73
00:02:27,19.97,6.75
00:02:28,19.97,6.53
00:02:29,19.97,6.69
00:02:30,19.97,6.79
00:02:31,19.99,6.91
00:02:32,19.99,6.91
00:02:33,19.97,6.75
00:02:34,19.97,6.83
00:02:35,19.99,6.91
00:02:36,19.99,6.87
00:02:37,20.01,6.57
00:02:38,19.99,6.39
00:02:40,19.95,6.61
00:02:41,19.97,6.65
00:02:42,19.99,6.53
00:02:43,19.97,6.39
00:02:44,19.97,6.61
00:02:45,19.99,6.79
00:02:46,19.91,6.73
00:02:47,19.95,6.79
00:02:48,19.97,6.91
00:02:49,19.97,6.97
00:02:50,19.97,7.01
00:02:51,19.97,7.11
00:02:52,19.99,7.19
00:02:53,20.01,7.33
00:02:54,20.01,7.29
00:02:55,19.99,7.27
00:02:56,19.97,7.23
00:02:57,19.97,7.01
00:02:58,20.01,7.05
00:02:59,20.03,7.09
00:03:00,20.01,7.19
00:03:01,19.99,7.15
00:03:02,20.01,7.05
00:03:03,20.03,7.05
00:03:04,20.03,6.97
00:03:05,20.03,6.87
00:03:06,20.01,7.09
00:03:07,20.01,6.93
00:03:08,20.05,6.73
00:03:09,19.99,6.69
00:03:10,20.01,6.47
00:03:12,20.03,6.65
00:03:13,20.03,6.53
00:03:14,20.03,6.35
00:03:15,20.01,6.53
00:03:16,20.01,6.79
00:03:17,20.01,6.83
00:03:18,19.99,6.83
00:03:19,20.05,6.87
00:03:20,20.03,6.83
00:03:21,20.05,6.83
00:03:22,20.03,6.83
00:03:23,20.03,6.87
00:03:24,20.03,6.75
00:03:25,20.05,6.79
00:03:26,20.03,6.83
00:03:27,20.07,6.83
00:03:28,20.07,6.75
00:03:29,20.07,6.73
00:03:30,20.03,6.75
00:03:31,20.05,6.83
00:03:32,20.03,6.79
00:03:33,20.05,6.75
00:03:34,20.03,6.73
00:03:35,20.03,6.87
00:03:36,20.05,6.75
00:03:37,20.09,6.79
00:03:38,20.07,6.73
00:03:39,20.07,6.69
00:03:41,20.05,6.73
00:03:42,20.07,6.79
00:03:43,20.09,6.69
00:03:44,20.09,6.61
00:03:45,20.11,6.53
00:03:46,20.09,6.35
00:03:47,20.07,6.29
00:03:48,20.07,6.07
00:03:49,20.07,6.11
00:03:50,20.09,6.25
00:03:51,20.05,6.35
00:03:52,20.09,6.43
00:03:53,20.07,6.53
00:03:54,20.11,6.47
00:03:55,20.07,6.39
00:03:56,20.09,6.39
00:03:57,20.07,6.17
00:03:58,20.07,6.29
00:03:59,20.05,6.33
00:04:00,20.09,6.43
00:04:01,20.07,6.33
00:04:02,20.07,6.39
00:04:03,20.07,6.33
00:04:04,20.11,6.25
00:04:05,20.07,6.33
00:04:06,20.09,6.29
00:04:07,20.17,6.35
00:04:08,20.07,6.21
00:04:09,20.11,6.35
00:04:11,20.05,6.11
00:04:12,20.09,6.13
00:04:13,20.09,6.13
00:04:14,20.11,6.07
00:04:15,20.09,6.03
00:04:16,20.11,5.95
00:04:17,20.11,6.07
00:04:18,20.07,6.11
00:04:19,20.17,6.07
00:04:20,20.13,5.95
00:04:21,20.11,5.95
00:04:22,20.13,5.77
00:04:23,20.09,5.73
00:04:24,20.09,5.77
00:04:25,20.11,5.81
00:04:26,20.13,5.71
00:04:27,20.11,5.73
00:04:28,20.11,5.73
00:04:29,20.09,5.63
00:04:30,20.09,5.51
00:04:31,20.09,5.63
00:04:32,20.13,5.15
00:04:33,20.11,5.33
00:04:34,20.09,5.51
00:04:35,20.13,5.51
00:04:36,20.13,5.59
